TIME,DISTANCE,w_cohere,w_avoid,w_align,w_random,max_acceleration,visible_distance,minimum_distance,max_velocity,weight,w_excretion_freq,w_attract,pheromone_decay,scout_velocity,scout_velocity_decay,scout_near,scout_min_neighbours,hive_pos
12.0,5.781,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
12.1,5.648,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
12.2,5.515,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
12.3,5.38,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
12.4,5.247,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
12.5,5.114,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
12.6,4.982,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
12.7,4.85,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
12.8,4.717,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
12.9,4.586,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
13.0,4.453,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
13.1,4.322,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
13.2,4.19,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
13.3,4.06,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
13.4,3.93,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
13.5,3.801,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
13.6,3.672,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
13.7,3.544,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
13.8,3.417,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
13.9,3.29,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
14.0,3.163,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
14.1,3.037,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
14.2,2.912,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
14.3,2.788,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
14.4,2.665,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
14.5,2.543,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
14.6,2.423,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
14.7,2.306,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
14.8,2.19,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
14.9,2.076,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
15.0,1.965,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
15.1,1.857,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
15.2,1.753,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
15.3,1.654,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
15.4,1.561,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
15.5,1.476,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
15.6,1.399,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
15.7,1.332,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
15.8,1.276,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
15.9,1.231,0.3,0.3,0.3,0.3,0.3,30.0,15.0,1.0,0.8,9999999,0.3,0.5,-2.5,0.8,5,10,[-20.   0.]
